YEAR,LEGAL_NAME,ICAO,ICAO_COUNTRY_NAME,TRAFFIC,OUT_OF_BUSINESS
2025,MIL UKRAINE,39*,UKRAINE,1,NO
2019,ABELAG AVIATION NV,AAB,BELGIUM,3086,NO
2023,ABELAG AVIATION NV,AAB,BELGIUM,3052,NO
2025,ABELAG AVIATION NV,AAB,BELGIUM,3046,NO
2024,ABELAG AVIATION NV,AAB,BELGIUM,2885,NO
2025,MIL UK ARMY,AAC,UNITED KINGDOM,21,NO
2023,MIL UK ARMY,AAC,UNITED KINGDOM,6,NO
2024,MIL UK ARMY,AAC,UNITED KINGDOM,6,NO
2019,FLY AMBASSADOR LTD,AAD,UNITED KINGDOM,49,NO
2025,AIR ATLANTA  (AAE).,AAE,MALTA,1154,NO
2024,AIR ATLANTA  (AAE).,AAE,MALTA,70,NO
2023,AIR ATLANTA  (AAE).,AAE,MALTA,12,NO
2019,AIGLE AZUR,AAF,FRANCE,10523,NO
2024,ARMENIAN AIRLINES,AAG,ARMENIA,1593,NO
2023,ARMENIAN AIRLINES,AAG,ARMENIA,1457,NO
2025,ARMENIAN AIRLINES,AAG,ARMENIA,537,NO
2024,AMERICAN AIRLINES,AAL,USA,78083,NO
2025,AMERICAN AIRLINES,AAL,USA,77923,NO
2023,AMERICAN AIRLINES,AAL,USA,69640,NO
2019,AMERICAN AIRLINES,AAL,USA,50575,NO
2019,AIM AIR S.R.L.,AAM,MOLDOVA,2,NO
2023,AIM AIR S.R.L.,AAM,MOLDOVA,2,NO
2025,CTR ATMOSPHERICA AVIATION A.S.,AAN,CZECH REPUBLIC,941,NO
2024,CTR ATMOSPHERICA AVIATION A.S.,AAN,CZECH REPUBLIC,27,NO
2023,CTR ATMOSPHERICA AVIATION A.S.,AAN,CZECH REPUBLIC,7,NO
2025,ALPHA AVIATION LK,AAO,CZECH REPUBLIC,2724,NO
2024,ALPHA AVIATION LK,AAO,CZECH REPUBLIC,1296,NO
2023,ALPHA AVIATION LK,AAO,CZECH REPUBLIC,75,NO
2024,ASIANA AIRLINES,AAR,KOREA,8352,NO
2023,ASIANA AIRLINES,AAR,KOREA,7808,NO
2025,ASIANA AIRLINES,AAR,KOREA,6696,NO
2019,ASIANA AIRLINES,AAR,KOREA,6210,NO
2019,AFRIQIYAH AIRWAYS,AAW,LIBYA,1729,NO
2023,AFRIQIYAH AIRWAYS,AAW,LIBYA,1224,NO
2024,AFRIQIYAH AIRWAYS,AAW,LIBYA,986,NO
2025,AFRIQIYAH AIRWAYS,AAW,LIBYA,406,NO
2019,AERO-BETA GMBH,ABA,GERMANY,1345,NO
2025,AERO-BETA GMBH,ABA,GERMANY,661,NO
2024,AERO-BETA GMBH,ABA,GERMANY,541,NO
2023,AERO-BETA GMBH,ABA,GERMANY,471,NO
2023,AIR BELGIUM SA,ABB,BELGIUM,1380,YES
2024,AIR BELGIUM S.A.,ABB,BELGIUM,1128,YES
2025,AIR BELGIUM  S.A.,ABB,BELGIUM,691,NO
2019,AIR BELGIUM SA,ABB,BELGIUM,142,YES
2024,AIR ATLANTA ICELANDIC,ABD,ICELAND,3701,NO
2025,AIR ATLANTA ICELANDIC,ABD,ICELAND,3697,NO
2023,AIR ATLANTA ICELANDIC,ABD,ICELAND,2931,NO
2019,AIR ATLANTA ICELANDIC,ABD,ICELAND,1332,NO
2025,SCANWINGS OY,ABF,FINLAND,2115,NO
2024,SCANWINGS OY,ABF,FINLAND,1986,NO
2023,SCANWINGS OY,ABF,FINLAND,1685,NO
2019,SCANWINGS OY,ABF,FINLAND,1332,NO
2019,ROYAL FLIGHT,ABG,RUSSIAN FEDERATION,6703,NO
2025,AIRBUS CANADA LIMITED PARTNERSHIP,ABK,CANADA,27,NO
2023,AIR BUSAN,ABL,KOREA,343,NO
2025,AIR BUSAN,ABL,KOREA,209,NO
2024,AIR BUSAN,ABL,KOREA,42,NO
2019,MIL MOLDOVA,ABM,MOLDOVA,1,NO
2023,AIR ALBANIA,ABN,ALBANIA,4782,YES
2024,AIR ALBANIA,ABN,ALBANIA,3209,YES
2025,AIR ALBANIA,ABN,ALBANIA,3143,YES
2019,AIR ALBANIA,ABN,ALBANIA,1325,YES
2025,ABS JETS INC.,ABP,CZECH REPUBLIC,3004,NO
2024,ABS JETS INC.,ABP,CZECH REPUBLIC,2956,NO
